context,context_cluster,nearest_stage2_archetype,nearest_stage2_name,correlation_distance
Summer_Weekday,0,4,Early-morning peak,0.009254828629952416
Summer_Weekday,1,0,Morning peak,0.019691430658436038
Summer_Weekday,2,3,Late-afternoon peak,0.06443828983635325
Summer_Weekday,3,1,All-daytime plateau,0.0956566511292013
Summer_Weekday,4,2,Evening peak,0.014525097510267093
Summer_Weekend,0,0,Morning peak,0.3063192760555258
Summer_Weekend,1,0,Morning peak,0.3107915766147402
Summer_Weekend,2,1,All-daytime plateau,0.15202172950085358
Summer_Weekend,3,3,Late-afternoon peak,0.02640171491289811
Summer_Weekend,4,2,Evening peak,0.032614567985029486
Winter_Weekday,0,4,Early-morning peak,0.1536202389716611
Winter_Weekday,1,1,All-daytime plateau,0.20909192877421812
Winter_Weekday,2,3,Late-afternoon peak,0.030557397157378707
Winter_Weekday,3,2,Evening peak,0.008767821911366158
Winter_Weekday,4,1,All-daytime plateau,0.09515654867748713
Winter_Weekend,0,1,All-daytime plateau,0.06341512048219888
Winter_Weekend,1,0,Morning peak,0.1463878416020694
Winter_Weekend,2,1,All-daytime plateau,0.35082509560588837
Winter_Weekend,3,3,Late-afternoon peak,0.13626097139034243
Winter_Weekend,4,2,Evening peak,0.0413297639798621
