date,archetype_name,n_homes_this_arch,n_homes_total,temperature_c,archetype_prevalence
2016-08-27,Late-afternoon peak,1,1,15.92361111111111,1.0
2016-08-28,Late-afternoon peak,1,1,15.76783216783217,1.0
2016-08-29,Late-afternoon peak,1,1,15.600746268656716,1.0
2016-09-08,Late-afternoon peak,1,1,16.75104895104895,1.0
2016-09-09,All-daytime plateau,1,1,15.770138888888889,1.0
2016-09-10,Morning peak,1,1,13.95138888888889,1.0
2016-09-11,Late-afternoon peak,1,1,14.84861111111111,1.0
2016-09-12,Evening peak,1,1,18.850694444444443,1.0
2016-09-13,Evening peak,1,1,17.783216783216783,1.0
2016-09-14,Evening peak,1,1,13.625694444444443,1.0
2016-09-15,Evening peak,1,1,15.264583333333333,1.0
2016-09-16,Evening peak,1,1,14.57986111111111,1.0
2016-09-17,All-daytime plateau,1,1,14.21875,1.0
2016-09-18,All-daytime plateau,1,1,14.447552447552448,1.0
2016-09-19,Evening peak,1,1,14.143055555555556,1.0
2016-09-20,Evening peak,1,1,14.308333333333334,1.0
2016-09-21,Morning peak,1,1,13.995833333333334,1.0
2016-09-22,Evening peak,1,1,13.834722222222222,1.0
2016-09-23,Evening peak,1,1,13.43888888888889,1.0
2016-09-24,Late-afternoon peak,1,1,16.885416666666668,1.0
2016-09-25,All-daytime plateau,1,1,13.627083333333333,1.0
2016-09-26,Late-afternoon peak,1,1,12.175,1.0
2016-09-27,Evening peak,1,1,14.354166666666666,1.0
2016-09-28,Morning peak,1,1,15.51736111111111,1.0
2016-09-29,Evening peak,1,1,12.302777777777777,1.0
2016-09-30,All-daytime plateau,1,1,10.384027777777778,1.0
2016-10-01,Morning peak,1,1,9.705555555555556,1.0
2016-10-02,Late-afternoon peak,1,1,10.152777777777779,1.0
2016-10-03,Early-morning peak,1,1,11.135416666666666,1.0
2016-10-04,Evening peak,1,1,12.743055555555555,1.0
2016-10-05,Evening peak,1,1,12.777777777777779,1.0
2016-10-06,Evening peak,1,1,11.385416666666666,1.0
2016-10-07,Early-morning peak,1,2,12.20625,0.5
2016-10-07,Evening peak,1,2,12.20625,0.5
2016-10-08,All-daytime plateau,1,2,11.332638888888889,0.5
2016-10-08,Morning peak,1,2,11.332638888888889,0.5
2016-10-09,Late-afternoon peak,2,2,9.555555555555555,1.0
2016-10-10,All-daytime plateau,1,2,8.611188811188812,0.5
2016-10-10,Early-morning peak,1,2,8.611188811188812,0.5
2016-10-11,Evening peak,1,2,10.752083333333333,0.5
2016-10-11,Late-afternoon peak,1,2,10.752083333333333,0.5
2016-10-12,Early-morning peak,1,2,10.393055555555556,0.5
2016-10-12,Late-afternoon peak,1,2,10.393055555555556,0.5
2016-10-13,Late-afternoon peak,1,2,10.176388888888889,0.5
2016-10-13,Morning peak,1,2,10.176388888888889,0.5
2016-10-14,All-daytime plateau,1,2,10.838194444444445,0.5
2016-10-14,Late-afternoon peak,1,2,10.838194444444445,0.5
2016-10-15,Morning peak,2,2,11.009722222222223,1.0
2016-10-16,All-daytime plateau,1,2,10.452777777777778,0.5
2016-10-16,Late-afternoon peak,1,2,10.452777777777778,0.5
2016-10-17,Early-morning peak,1,2,11.777777777777779,0.5
2016-10-17,Late-afternoon peak,1,2,11.777777777777779,0.5
2016-10-18,Evening peak,1,2,8.886805555555556,0.5
2016-10-18,Late-afternoon peak,1,2,8.886805555555556,0.5
2016-10-19,Evening peak,1,2,9.843055555555557,0.5
2016-10-19,Late-afternoon peak,1,2,9.843055555555557,0.5
2016-10-20,Evening peak,1,1,10.139583333333333,1.0
2016-10-21,Evening peak,1,1,9.4875,1.0
2016-10-22,Late-afternoon peak,1,2,8.410416666666666,0.5
2016-10-22,Morning peak,1,2,8.410416666666666,0.5
2016-10-23,All-daytime plateau,1,2,8.093006993006993,0.5
2016-10-23,Late-afternoon peak,1,2,8.093006993006993,0.5
2016-10-24,All-daytime plateau,1,2,8.052083333333334,0.5
2016-10-24,Early-morning peak,1,2,8.052083333333334,0.5
2016-10-25,Evening peak,1,2,9.472916666666666,0.5
2016-10-25,Late-afternoon peak,1,2,9.472916666666666,0.5
2016-10-26,Evening peak,1,2,11.924305555555556,0.5
2016-10-26,Late-afternoon peak,1,2,11.924305555555556,0.5
2016-10-28,Early-morning peak,2,2,10.484722222222222,1.0
2016-10-29,Evening peak,1,2,11.654166666666667,0.5
2016-10-29,Late-afternoon peak,1,2,11.654166666666667,0.5
2016-10-30,All-daytime plateau,1,3,11.919444444444444,0.3333333333333333
2016-10-30,Evening peak,1,3,11.919444444444444,0.3333333333333333
2016-10-30,Morning peak,1,3,11.919444444444444,0.3333333333333333
2016-11-02,Early-morning peak,1,3,6.606249999999999,0.3333333333333333
2016-11-02,Evening peak,1,3,6.606249999999999,0.3333333333333333
2016-11-02,Late-afternoon peak,1,3,6.606249999999999,0.3333333333333333
2016-11-03,Early-morning peak,1,3,8.002097902097901,0.3333333333333333
2016-11-03,Evening peak,2,3,8.002097902097901,0.6666666666666666
2016-11-04,All-daytime plateau,1,3,6.386111111111111,0.3333333333333333
2016-11-04,Early-morning peak,1,3,6.386111111111111,0.3333333333333333
2016-11-04,Morning peak,1,3,6.386111111111111,0.3333333333333333
2016-11-05,All-daytime plateau,2,3,5.643750000000001,0.6666666666666666
2016-11-05,Morning peak,1,3,5.643750000000001,0.3333333333333333
2016-11-06,All-daytime plateau,1,3,5.865248226950355,0.3333333333333333
2016-11-06,Late-afternoon peak,1,3,5.865248226950355,0.3333333333333333
2016-11-06,Morning peak,1,3,5.865248226950355,0.3333333333333333
2016-11-07,All-daytime plateau,1,3,5.252777777777777,0.3333333333333333
2016-11-07,Evening peak,1,3,5.252777777777777,0.3333333333333333
2016-11-07,Morning peak,1,3,5.252777777777777,0.3333333333333333
2016-11-08,Early-morning peak,1,3,4.495804195804196,0.3333333333333333
2016-11-08,Evening peak,1,3,4.495804195804196,0.3333333333333333
2016-11-08,Morning peak,1,3,4.495804195804196,0.3333333333333333
